TABLE "anxiety_user"
ATTRIBUTES 23
 f_0_a symbolic
 f_1_a symbolic
 f_2_a symbolic
 f_3_a symbolic
 f_4_a symbolic
 f_5_a symbolic
 f_6_a symbolic
 f_7_a symbolic
 f_8_a symbolic
 f_9_a symbolic
 child_number symbolic
 education symbolic
 gender symbolic
 partner_education symbolic
 partner_age symbolic
 no_of_daughters symbolic
 no_of_sons symbolic
 age_oldest_child symbolic
 average_child_age symbolic
 age symbolic
 years_of_mariage symbolic
 years_of_relationship symbolic
 group symbolic
OBJECTS 1970
"2-1" "1-1" "1-2" "2-2" "1-0" "0-0" "0-0" "3-0" "1-0" "2-0" "6-3" "1-1" "1-1" "1-1" "40-40" "4-1" "2-2" "3-10" "9-13" "40-46" "16-19" "22-22" "0-1"
"2-1" "1-0" "1-1" "2-2" "1-0" "0-0" "0-0" "3-2" "1-0" "2-1" "6-2" "1-1" "1-0" "1-1" "40-48" "4-1" "2-1" "3-10" "9-15" "40-49" "16-4" "22-26" "0-1"
"2-2" "1-2" "1-2" "2-2" "1-1" "0-1" "0-0" "3-1" "1-2" "2-1" "6-1" "1-1" "1-0" "1-1" "40-49" "4-1" "2-0" "3-10" "9-10" "40-47" "16-22" "22-25" "0-1"
"2-1" "1-0" "1-1" "2-2" "1-0" "0-1" "0-0" "3-1" "1-1" "2-1" "6-0" "1-1" "1-1" "1-0" "40-51" "4-0" "2-0" "3-0" "9-0" "40-53" "16-5" "22-6" "0-1"
"2-3" "1-1" "1-2" "2-1" "1-1" "0-1" "0-0" "3-2" "1-1" "2-2" "6-2" "1-0" "1-0" "1-0" "40-36" "4-0" "2-2" "3-10" "9-10" "40-35" "16-14" "22-18" "0-1"
"2-1" "1-0" "1-1" "2-3" "1-1" "0-0" "0-0" "3-1" "1-1" "2-1" "6-3" "1-1" "1-1" "1-1" "40-40" "4-0" "2-3" "3-5" "9-8" "40-38" "16-13" "22-19" "0-1"
"2-1" "1-0" "1-0" "2-3" "1-1" "0-0" "0-0" "3-0" "1-0" "2-1" "6-2" "1-1" "1-1" "1-1" "40-38" "4-1" "2-1" "3-8" "9-10" "40-41" "16-12" "22-14" "0-1"
"2-2" "1-1" "1-1" "2-1" "1-0" "0-1" "0-0" "3-2" "1-0" "2-0" "6-4" "1-1" "1-0" "1-1" "40-48" "4-2" "2-2" "3-11" "9-14" "40-45" "16-20" "22-23" "0-1"
"2-2" "1-1" "3-1" "1-2" "0-1" "1-0" "0-0" "0-3" "0-1" "0-2" "4-6" "1-1" "0-1" "1-1" "45-40" "2-4" "2-2" "11-3" "16-9" "45-40" "21-16" "27-22" "1-0"
"2-3" "1-0" "3-3" "1-1" "0-0" "1-0" "0-0" "0-3" "0-1" "0-1" "4-2" "1-1" "0-0" "1-1" "45-61" "2-1" "2-1" "11-23" "16-24" "45-53" "21-29" "27-29" "1-0"
"2-3" "1-1" "3-3" "1-1" "0-2" "1-2" "0-0" "0-3" "0-2" "0-2" "4-2" "1-1" "0-0" "1-1" "45-61" "2-1" "2-1" "11-23" "16-24" "45-53" "21-29" "27-29" "1-0"
"2-2" "1-2" "3-3" "1-2" "0-1" "1-2" "0-0" "0-2" "0-0" "0-2" "4-2" "1-0" "0-1" "1-1" "45-40" "2-2" "2-0" "11-4" "16-5" "45-39" "21-6" "27-11" "1-0"
"2-2" "1-2" "3-2" "1-2" "0-2" "1-1" "0-1" "0-1" "0-2" "0-1" "4-5" "1-1" "0-1" "1-0" "45-54" "2-2" "2-3" "11-17" "16-26" "45-59" "21-32" "27-38" "1-0"
"2-2" "1-3" "3-3" "1-1" "0-3" "1-2" "0-2" "0-3" "0-3" "0-3" "4-2" "1-1" "0-1" "1-1" "45-47" "2-1" "2-1" "11-10" "16-12" "45-50" "21-19" "27-22" "1-0"
"2-2" "1-2" "3-2" "1-1" "0-2" "1-2" "0-1" "0-2" "0-2" "0-2" "4-0" "1-1" "0-0" "1-1" "45-45" "2-0" "2-0" "11-0" "16-0" "45-41" "21-13" "27-16" "1-0"
"2-0" "1-1" "3-1" "1-2" "0-0" "1-0" "0-0" "0-1" "0-1" "0-0" "4-3" "1-0" "0-0" "1-0" "45-53" "2-2" "2-1" "11-14" "16-20" "45-53" "21-27" "27-29" "1-2"
"2-3" "1-0" "3-3" "1-1" "0-2" "1-2" "0-0" "0-2" "0-1" "0-2" "4-2" "1-1" "0-1" "1-1" "45-30" "2-1" "2-1" "11-3" "16-4" "45-36" "21-7" "27-10" "1-0"
"2-2" "1-2" "3-1" "1-2" "0-1" "1-1" "0-1" "0-2" "0-1" "0-1" "4-2" "1-1" "0-0" "1-1" "45-51" "2-1" "2-1" "11-16" "16-19" "45-48" "21-24" "27-24" "1-0"
"2-2" "1-2" "3-3" "1-1" "0-2" "1-2" "0-1" "0-2" "0-2" "0-3" "4-0" "1-1" "0-1" "1-1" "45-33" "2-0" "2-0" "11-0" "16-0" "45-35" "21-6" "27-13" "1-0"
"2-2" "1-1" "3-1" "1-1" "0-0" "1-1" "0-0" "0-2" "0-1" "0-2" "4-1" "1-1" "0-0" "1-1" "45-41" "2-0" "2-1" "11-9" "16-9" "45-40" "21-14" "27-17" "1-0"
