attributes;date;email;gender
2|1|0|1|0|0|0|0|2|0;2022-07-20 21:07;ID181;M
1|1|1|0|0|1|0|1|1|1;2022-07-20 21:16;ID180;K
1|0|1|0|1|0|0|1|1|1;2022-07-19 11:13;ID139;M
2|2|2|1|1|1|0|1|2|1;2022-07-20 22:22;ID140;K
1|1|1|1|1|1|0|0|1|1;2022-07-20 22:41;ID177;M
3|1|1|1|0|1|0|1|2|1;2022-07-20 22:41;ID174;K
1|1|2|1|0|0|0|0|2|1;2022-07-20 22:46;ID174;K
2|1|2|1|1|1|1|1|2|2;2022-07-20 14:13;ID184;K
2|2|2|2|1|1|1|1|0|1;2022-07-20 23:06;ID173;M
3|1|2|1|1|1|1|2|1|2;2022-07-20 23:05;ID172;K
1|0|1|1|1|1|0|1|0|1;2022-07-20 23:25;ID113;K
2|0|2|2|0|2|0|2|1|1;2022-07-20 23:39;ID197;M
1|1|2|1|1|1|0|1|0|0;2022-07-21 00:22;ID123;K
2|1|2|1|0|1|0|1|1|0;2022-07-21 00:28;ID182;K
3|2|1|2|2|2|2|2|1|3;2022-07-20 23:16;ID196;K
3|0|3|2|2|2|0|2|1|2;2022-07-20 11:18;ID151;M
3|0|3|0|1|1|1|2|1|1;2022-07-21 12:50;ID150;K
1|0|1|2|0|1|0|1|1|1;2022-07-21 13:12;ID205;M
3|1|3|2|2|2|0|3|2|2;2022-07-21 16:03;ID212;K
2|1|1|1|2|2|1|2|1|2;2022-07-21 16:33;ID215;M
1|0|1|1|0|0|0|2|0|1;2022-07-21 21:12;ID214;K
2|0|1|1|0|2|0|2|0|0;2022-07-21 21:12;ID154;K
3|2|3|2|3|2|1|2|2|2;2022-07-21 21:21;ID188;K
3|1|3|3|1|3|0|2|0|0;2022-07-21 21:51;ID227;K
1|1|1|1|0|1|1|2|1|1;2022-07-21 22:11;ID129;K
2|1|1|2|0|1|0|2|1|2;2022-07-22 05:03;ID219;K
2|2|2|2|2|2|2|2|1|2;2022-07-20 17:18;ID183;M
1|0|0|1|0|0|0|2|0|1;2022-07-22 19:10;ID214;K
1|0|1|0|0|0|0|0|0|0;2022-07-22 20:55;ID141;M
2|2|2|1|0|1|2|1|1|2;2022-07-23 22:33;ID82;K
1|1|1|1|1|1|1|0|0|1;2022-07-26 22:42;ID129;K
1|0|1|1|0|1|0|1|1|1;2022-07-28 20:49;ID165;M
1|1|1|1|0|1|0|2|2|2;2022-07-29 22:36;ID164;K
1|2|1|3|0|1|0|3|2|2;2022-08-01 22:02;ID144;K
0|0|0|1|0|0|0|1|0|0;2022-08-04 06:06;ID159;M
2|2|2|1|0|1|1|2|1|1;2022-08-15 08:07;ID228;K
2|1|1|1|1|0|0|3|1|2;2022-11-12 15:45;ID260;M
2|1|1|2|3|1|3|3|0|2;2023-04-17 22:26;ID283;K
2|2|3|1|1|2|0|2|0|2;2023-04-18 17:45;ID284;M
1|2|2|2|1|1|1|1|1|1;2022-12-14 14:03;ID271;K
2|2|2|2|0|1|0|0|0|2;2022-12-28 19:28;ID273;K
1|0|0|2|0|0|0|0|0|1;2022-12-29 13:23;ID274;M
2|2|3|2|1|2|1|2|1|2;2023-01-04 11:07;ID276;M
